1.1 취미가 뭐예요?	Какие у вас увлечения?
미선 씨는 취미가 뭐예요?	Мисон, какие у тебя увлечения?
저는 여행을 좋아해서 시간이 있을 때마다 여행을 가요.	Люблю путешествия, поэтому каждый раз, когда есть время, еду в поездку.
그래요? 시간을 내기가 힘들지 않아요?	Вот как? Не сложно ли уделять время?
어렵기는 하지만 마음만 먹으면 시간을 내는 건 가능하던데요. 제임스 씨는요?	Сложно, но при желание выкраивать время возможно. А ты, Джеймс?
저는 우표 모으는 것을 좋아해요. 세계 여러 나라의 우표를 거의  5,000장 정도 모았어요.	А я люблю коллекционировать марки. Собрал почти 5000 марок разных стран мира.
정말 많이 모았네요.	Действительно много собрал.
1.2 가끔 풍경화도 그리고요.	Еще иногда пишу пейзажи.
그림이 참 좋네요. 언제부터 그림을 그리기 시작했어요?	Отличная картина. Когда ты начал рисовать?
얼마 안 됐어요. 그림을 배우고 싶어서 작년에 학원에 등록했어요.	Не так давно. Хотел научиться рисованию, поэтому записался в школу (рисования).
이 그림은 완성하는 데 얼마나 걸렸어요?	Сколько времени заняло закончить эту картину?
두 달쯤 걸렸어요.	Примерно 2 месяца.
생각보다 오래 걸린 편이네요. 주로 인물화를 그리세요?	В целом, дольше, чем я думала. В основном, пишешь портреты?
네, 가끔 풍경화도 그리고요.	Да, еще иногда пейзажи.
1. 말하기
정희 씨, 취미가 뭐예요?	Чонхый, какие у тебя увлечения?
저는 그림을 좋아해요. 그림을 잘 그리지는 못하지만 좋은 그림을 보면 기분이 좋아져요. 한 달에 한두 번은 그림을 꼭 보러 가요.	Я люблю картины. Рисую не очень хорошо, но глядя на картины, настроение улучшается. Раз в месяц один-два раза обязательно хожу смотреть.
이번에 예술의 전당에서 유명 화가들의 전시회가 있다고 하는데 가 보셨어요?	Слышал, сейчас в Центре искусств выставка известных художников, видела?
아, 동서양 유명 화가들의 전시회 말이지요? 저는 지난주에 갔다 왔어요.	Ты о выставке известных художников Востока и Запада?
어땠어요?	И как она?
유명한 그림을 볼 수 있어서 아주 좋았어요. 동양과 서양의 그림을 비교해 볼 수도 있었고요.	Прекрасно иметь возможность увидеть знаменитые картины. Также можно сравнить картины Востока и Запада.
어떤 그림을 좋아하는데요?	Какие картины тебе нравятся?
저는 풍경화가 좋아요. 인물화도 나쁘지는 않지만 자연을 그린 풍경화를 보면 제가 그 자연 속에 있는 것 같아서요.	Пейзажи. Портреты неплохи, но, когда смотрю на картины, на которых нарисована природа, я как будту оказываюсь внутрии неё.
이번 전시회에 풍경화만 있었어요?	На теперешней выставке были только пейзажи?
아니요. 인물화, 풍경화, 정물화 모두 있었어요. 화가들이 자신들의 모습을 그린 초상화도 많던데요.		Нет. Были портреты, пейзажи, натюрморты, всё есть. Также много автопортретов самих художников.
저도 한번 가 봐야겠네요.	Мне тоже нужно пойти.
1.3 어떤 동아리에 들 거야?	В какой кружок собираешься вступить?
제임스, 어떤 동아리에 들 거야?	Джеймс, в какое кружок собираешься вступить?
아직 못 정했어, 어떤 동아리가 좋을까?	Еще не решил, какой лучше?
넌 한국 문화에 관심이 있으니까 탈춤반이나 전통 음악반이 어때?	Посколько ты интересуешься корейской культурой, как насчет кружка танца в масках или кружка традиционной музыки?
글쎄, 지난 번에 소개하는 것을 들었는데도 어떤 동아리에 들어가야 할지 결정을 못하겠어.	Ну, я слышал их представление в прошлый раз, но в какой вступить не решу.
그럼 학교 홈페이지에 들어가서 동아리 소개를 한번 찾아 봐. 사진하고 동영상도 있어.	Тогда зайди на сайт школы, поищи о них информацию. Там есть фото и видео.
아, 맞다. 홈페이지에 들어가기만 하면 다 나오는데 괜히 고민했네.	А, верно, нужно только зайти на сайт школы, и там всё есть. Зря я переживал.
1.4 등산을 제일 많이 한대요.	Чаще всего ходят в горы.
한국 사람들은 시간이 있을 때 보통 뭘 해요?	Корейца, когда есть время, что делают?
조사 결과에 따르면 등산을 제일 많이 한대요.	По результатам исследования чаще всего идут в горы.
그렇군요. 한국에는 산이 많아서 등산하기가 좋을 거예요.	Правда? В Корее много гор, значит, наверное, хорошо подниматься в горы.
네, 그리고 산이 별로 험하지 않아서 아이들도 쉽게 등산을 할 수 있어요.	К тому же горы не особенно крутые, дети тоже могут подниматься.
미선 씨도 이번 연휴에 등산 가실 거예요?	Ты тоже в эти праздники пойдешь в горы?
아니요. 저는 수업이 끝나자마자 제주도에 갈 거예요. 친구들과 제주도 관광을 하기로 했어요.	Нет, после окончания занятий сразу же поеду на Чеджудо. С друзьями собирались осмотреть Чеджудо.
1.5 한국인의 여가 활동. Досуг корейцев.
여가 활동이란 일을 하고 남는 시간을 활용하여 하는 활동을 말합니다.	
또한, 여가 시간이란 직장 생활과 공부로부터 벗어난 자유로운 시간을 말합니다.	
따라서 여가 활동은 꼭 해야 하는 것이 아니라 스스로 즐기기 위해서 하는 활동입니다.	
과거 우리 조상들은 씨름, 널뛰기, 줄다리기, 팽이치기, 썰매타기, 탈춤, 서예 등의 여가 활동을 즐겼습니다.	
현대에는 여가 활동이 더 다양해졌습니다.	
컴퓨터 게임과 같은 오락 활동에서부터 영화 감상, 다양한 스포츠 활동, 어려운 사람들을 도와주는 봉사 활동, 그리고 특별한 동식물을 키우는 취미 활동에 이르기까지 그 종류는 수없이 많습니다.	
현대인들은 자신에게 맞는 적절한 여가 활동을 통해 일상생활에서 받는 스트레스를 풀고 건강하게 살려고 노력합니다.	
2.1 앞집에 이사 온 리에라고 합니다.	Я Риэ, переехала в дом напротив.
안녕하세요? 저는 앞집에 이사 온 리에라고 합니다. 잘 부탁드립니다.	Здравствуйте! Я Риэ, переехала в дом напротив. Рада быть полезной.
그렇지 않아도 어떤 분인지 궁금해서 인사를 가려던 참이었어요. 그런데 외국분이신가 봐요.	Мне как раз стало интересно, кто же переехал, и я хотела нанести визит. Но вы, похоже, иностранка?
네, 일본에서 왔어요.	Да, Я из Японии.
한국말을 참 잘 하시네요.	У вас такой хороший корейский!
감사합니다. 이거 이사 떡인데 맛 좀 보세요.	Благодарю. Вот вам подарок в честь переезда - ттоки, очень вкусные.
고맙습니다. 잘 먹겠습니다. 이사 때문에 바쁘실 텐데 언제 이런 걸 준비하셨어요?	Спасибо. Обязательно попробую. Из-за переезда вы, должно быть, заняты, когда вам удалось их приготовить?
