가구	家口	Family
가능	可能	Possibility
가능해지다	可能-	To become possible
가령	假令	1) For example 2) supposing or admitting
가로등	街路燈	A street light
가로수	街路樹	A roadside tree
가사	歌詞	Words or  lyrics
가상	假想	Imagination
가입	加入	Entrance
가입자	加入者	Member or  subscriber
가입하다	加入-	Join
가장	家長	Head of a household
가정	假定	Supposition
가정교사	家庭敎師	Private tutor
가치	價値	Price
가치관	價値觀	one’s values or sense of values, a value system
가하다	加-	To add
각기	各其	Each or  severally or  respectively
각오	覺悟	Readiness or  preparation
간	肝	Liver
간격	間隔	A space or  interval
간부	幹部	The leaders (cadre, exec, executive, management)
간섭	干涉	Interfere or  meddle
간신히	艱辛-	Narrowly or  barely. 겨우
간접	間接	Indirectness
간접적	間接的	Indirect or  mediate
간판	看板	A signboard
간편하다	簡便-	Simplicity or  convenience
간호	看護	Nursing or  care
간혹	間或	Occasionally or at times
갈등	葛藤	Conflict or  troubles
갈증	渴症	Thirst
감	感	Feelings
감각	感覺	Sense or  sensation or  feeling
감독	監督	The director
감동적	感動的	Sensational
감소	減少	Decrease or  dimunition
감소되다	減少-	To be reduced or  diminished
감소하다	減少-	To reduce or diminish
감수성	感受性	Receptivity or  susceptibility
감옥	監獄	Prison
감정적	感情的	Emotional
감히	敢-	Daringly or  boldly
갑	匣	1) The first  2) the former
강남	江南	South of a river
강도	强度	Intensity or  strength
강력하다	强力-	To be strong or  powerful
강력히	强力-	With great strengh or  or might
강렬하다	强烈-	Intense or  strong or  severe
강변	江邊	A riverside
강북	江北	North of the river
강사	講師	Instructor or  teacher
강수량	降水量	How much rainfall
강요하다	强要-	Insist on
강의	講義	A lecture or  discourse
강의하다	講義-	To give a lecture
강조	强調	Emphasis or  stress
강화하다	强化-	Strengthen
개개인	個個人	Individuals or  every person
개국	個國	The foundation of a country
개발되다	開發-	To be developed or  exploited
개방	開放	Open or  throw open
개방되다	開放-	To be opened
개방하다	開放-	To open or  to throw open
개별	個別	An individual or  a particular case
개선	改善	Renovation or  improvement or  betterment
개선되다	改善-	To be renovated or  to get improved
개선하다	改善-	To renovate or  to improve
개성	個性	Individuality or personality
객관적	客觀的	Objective
거대하다	巨大-	Huge or  gigantic or  enormous
거리	距離	Distance
거부하다	拒否-	Deny or  reject or  disapprove
거액	巨額	A large sum of money
거절하다	拒絶-	Refuse or  reject
건	件	A matter or  an object or  a case
건넌방	-房	The room opposite the main living room
건설	建設	Construction
건설되다	建設-	To become constructed
건설하다	建設-	To construct or  erect
건전하다	健全-	Health or  soundness or  vitality
건조	乾燥	Dryness or  aridity
건조하다	乾燥-	Ry or  arid or  become dry
검사	檢事	A public prosecutor
검토	檢討	An examination or  investigation or  study
겁나다	怯-	Be frightened or  scared
게시판	揭示板	A notice board or  a bulletin board
견해	見解	An opinion or  view.  Same as 의견
결과적	結果的	Resultative
결론	結論	A conclusion
결석	缺席	Absent
결석하다	缺席-	To be absent
결승	決勝	The decision of the final round of a contest
결심	決心	Determination or  resolution
