항구	항구 港口; гавань; порт; ~ 도시 портовый город
마침	как раз; кстати; именно; 자네가 ~ 왔군 Ты пришёл кстати.
밀물	приливное течение; прилив
육지	陸地; земля; суша; ~에 на суше
몰려들다	входить гурьбой (толпой)
어선	漁船; рыбачья лодка; рыболовное судно
세차다	очень сильный; мощный
부딪히다	сталкиваться; разбиваться; 배가 바위에 부딪혔다 Корабль разбился о скалу.
감시소	監視所; наблюдательный пункт
숙직	宿直; ночное дежурство; ~하다 дежурить (сторожить) ночью
반도	半島; полуостров; 한~ корейский полуостров
통조림	桶－; консервы; 고기(생선)~ мясные (рыбные) консервы
성행	盛行; ~하다 широко распространяться; становиться известным (модным)
광장	廣場; площадь; просторный двор; 붉은 ~ Красная площадь; 역전~ привокзальная площадь
모퉁이	угол; закоулок; уголок; часть; 길 ~ поворот дороги; угол улицы; ~를 돌아 за углом
환하다	яркий; светлый; ясный; явный очевидный; открытый; широко простирающийся; свежий; гладкий; освежающий; прохладный; знакомый; осведомлённый
새다	течь, протекать; 가스가 샌다 Газ протекает.; 물통에서 물이 샌다 Вода протекает из ведра.
부럽다	испытывать зависть; 나는 그의 행운이 ~ Я завидую его счастью.; 부러운 завидный
간혹	間或; иногда; временами; изредка; время от времени; 그는 ~ 술을 마신다 Он выпивает время от времени.
트럼프	карты
흥얼거리다	напевать про себя; мурлыкать
별안간	瞥眼間; вдруг; неожиданно; врасплох; ~에서 따로 만나자 Случилось неожиданное дело и я не знаю его причины.
날리다	подниматься; разноситься; развеваться; трепетать; полоскаться; запускать в воздух; поднимать вверх; делать на скорую руку; халтурить; полностью израсходовать; растрачивать; упустить случай; прославиться (кем-чем.); 새장에서 새를 ~ выпускать птицу из клетки; 좋은 기회를 ~ упустить хороший шанс; 깃발이 바람에 날린다 Флаг развевается на ветру.; 남의 돈을 와전히 날렸다 растратил чужие деньги; 눈발이 바람에 날린다 Снежинки разносятся ветром.; 모형비행기를 공중으로 날렸다 Пустил макет самолёта в воздух.; 방안에 먼지가 날린다 В комнате поднялась пыль.; 유명한 학자로서 이름을 날렸다 Он прославился как учёный.
구르다	1. катиться; 2. топать; 발을 구르며 기뻐하다 притоптывать ногами от радости
허둥지둥	неугомонно; суетливо; нервно; нервозно; торопливо; поспешно; беспокойно
더구나	вдобавок; кроме того; сверх того; к тому же; 말을 함부로 하는데다 ~ 거짓말까지도 한다 Грубит, да в добавок еще и лжет
더욱더	more and more;
우스꽝	смешной
