금테	金－; золотой (позолоченный) ободок; ~ 안경 очки в золотой (позолоченной) оправе
폭풍우	暴風雨; буря и ливень
까다롭다	трудный; сложный; щекотливый; придирчивый; привередливый; 까다롭게 сложно; непросто; щекотливо; придирчиво; привередливо; 까다롭게 굴다 привередничать; 까다로운 질문 щекотливый вопрос; 까다로운 사람 привередливый человек
잇따르다	one after another
돋보기	очки для дальнозорких; выпуклые (толстые) очки; ~를 쓰다 надевать очки для дальнозорких
흐릿	~하다 чуть мутный (грязный); чуть пасмурный; слабый
들여다보다	взглянуть; заглядывать; 방안을 ~ заглянуть в комнату; 문제를 ~ рассматривать проблему; 들여다보는 구멍 глазок
논문	論文; статья; монография; диссертация; 박사학위 ~ докторская диссертация; 학술 ~ научная статья; 학위~을 방어하다 защищать диссертацию; 졸업~ дипломная работа; 학위~ диссертация
열중	熱中; увлечение; ~하다 увлекаться кем-чем; отдаваться чему
세차다	очень сильный; мощный
두드리다	стучать; бить; колотить; 문을 ~ стучать в дверь; 주먹으로 ~ бить кулаком
떼다	отрывать; отделять; отлеплять; вскрывать; распечатывать; разрывать; прекращать; приостанавливать; 아이를 ~ сделать аборт; 걸음늘 ~ начинать ходить; 입을 ~ открывать рот; 말을 ~ начинать говорить; 시선을 ~ отрывать взор; 젖을 ~ отнимать от груди; 손을 떼라! Руки прочь!
괴다	1. собираться; скапливаться; навёртываться; 눈에는 눈물이 괴었다 Глаза наполнились слезами.; 2. подставлять; подпирать; поддерживать; 손으로 턱을 ~ подпирать рукой подбородок
촉촉	~하다 сырой; влажный
비추다	освещать; озарять; просвечивать (что-л. лучами); отражаться; быть отражённым; 전등으로 어구운 구석을 ~ освещать фонарём тёмные уголки; 가로등이 잠시 비추더니 꺼져버렸다 Фонари посветили и потухли.
물보라	брызги прибоя
틀어박히다	быть изолированным; быть заключённым; 방안에 ~ не выходить из комнаты; 수도원에 ~ быть заключённым в монастырь
보람	результат; эффект; польза; толк; 이렇게 풍작을 이룬 것은 열심히 일한 ~이다 Добиться такого богатого урожая результат упорного труда.
말발굽	말굽
삐걱거리다	шуршать
파이프	англ. pipe; труба; курительная трубка; мундштук; свирель; дудка; свисток; ~ 오르간 орган
재다	1. измерять; мерить; взвешивать; рассчитывать; думать; полагать; 발의 치수를 ~ снять мерку с ноги; 2. заряжать; 3. быстрый; расторопный; 4. невыдержанный; 입이 ~ болтливый; 5. быстро нагревающийся
찌푸리다	хмурить (лицо; брови); морщить; насупиться; прищуривать (глаза); покрытый облаками; облачный; мрачный; хмуриться; 찌푸린 날씨 облачная погода; 얼굴을 찌푸리고 с хмурым лицом; 이마를 ~ нахмурить брови; 얼굴을 ~ сделать перекошенное лицо; сделать гримассу; 그는 아파서 얼굴을 찌푸렸다 Его лицо было перекошено от боли.
달리	иначе; по-другому; по-разному; ~하다 расходиться в чём; ...와 ~ иначе чем; в отличие от кого-чего; ~ 방법이 없다 Иначе нельзя.; 우리는 그들과 의견을 ~했다 Мы с ними разошлись во мнениях.
초조	焦燥; ~하다 беспокойный; тревожный
쬐다	светить; сиять; озарять; палить; греться; печь; 햇볕에 ~ подвергаться действию солнца; находиться под солнцем; 해가 쬐인 땅 освещенная солнцем земля
대강	大綱; в общем; в целом; в основном; ~하다 делать небрежно (наскоро); ~대강 в самых общих чертах
흔적	痕迹; след; отпечаток; старая площадка; развалины; ~을 좇아 во (в) след; по следу,; ~도 없이 사라지다 исчезнуть без следа; бесследно исчезнуть; ~을 감추다 замести следы
해치우다	решительно сделать что; успешно выполнить что; справиться с чем; переделать; уничтожить; ликвидировать; покончить с кем-чем; прикончить; уложить на месте; убить; убрать
짚다	опираться на что; трогать; дотрагиваться (рукой); щупать (пульс); строить догадки; предполагать
정원	 庭園; двор и цветник
신세	身世; жизнь; положение кого; моральный долг; признательность; ~를 갚다 отблагодарить; ~를 지다 быть обязанным (признательным)
형편	形便; положение; состояние (дел); ~이 펴이다 улучшаться; становиться лучше; ~이 좋으면 при благоприятных обстоятельствах; если обстоятельства сложатся хорошо (позволят); 지금 ~으로는 при этих обстоятельствах; в этой ситуации
그다지	так; настолько; не так уж; не очень; не особенно; 나는 이 책에 ~ 흥미가 없다 Я не особенно интересуюсь этой книгой.
심부름	мелкие поручения; ~하다 выполнять мелкие поручения; быть на побегушках
마음씨	душа; нрав; ~가 곱다 душевный; добросердечный; ~가 나쁘다 чёрствый; бессердечный
상냥	~하다 милый; ласковый; приветливый; 마음이 ~한 사람 ласковый (приветливый) человек
