忖度	догадка; подозрение; предположение
侮辱	оскорбление; презрение; унижение
逆転	резкая перемена; резкий поворот;
（名）演説	речь; выступление; доклад;
立場を自覚する	осознание; самосознание
将来	будущее
国の中核	стержень; центр; ядро;
誑かす	обманывать, надувать;
悪役	злодей
徹する	проникать; пронизывать;
獣(以下)	тварь; зверь; животное; хищник
外道	неверный, еретик; demon; fiend; devil; brute; bad person
支援者	сторонник
敵に回す	сделать врагом (кого-то)
立場が揺らぐ	дрожать; качать; качаться; колебаться
王位継承権が剥奪される	лишать права наследовать кор. престол
継承する	наследовать
剥奪する	лишать
聖女	святая дева
転生者	перерожденный
尻拭いをする	расплачиваться за чьи-то ошибки\грехи １ 尻をふくこと。 ２ 他人の失敗などの後始末をすること
名誉	честь; доброе имя;
才能	талант
遠慮する	скромничать; сдерживаться
解析完了	анализ завершен
安全確保	гарантия; обеспечение; (безопасности)
手加減をする	сдерживаться
全財産	всё состояние・богатство
卑怯者	трус
卑しい	вульгарный, низкий
陰険（な）	коварный; двуличный; хитрый
医務室	медпункт
多少	небольшое количество; немного
白々しい真似はよせ（やめて）	очевидный
追い込む	загнать; загонять
躾	воспитание; дисциплина
王妃	королева
証拠がある	доказательство; свидетельство; улика
共和国	республика
輸入 （輸出）	импорт (экспорт)
皇国風	имперский, в имперском стиле
忍ぶ	скрываться; прятаться
〜際	в случае когда (grammar) ＝〜ときに / 〜の機会に ＊硬い表現である。そのため、日常会話ではあまり使わない。
串焼き	шашлык
庶民	простые люди
ふさわしい	подходящий, соответсвующий, достойный
否定する	отрицать
屋台	лавка, лоток
運命	судьба; рок
陰	тень
身を崩す	”уничтожать себя”
本来	издавна; изначально
愛を育む	взразивать любовь
性急にことを進める	нетерпеливый; опрометчивый;
見落とす	проглядеть; упустить из виду;
見逃す	упустить из виду; не заметить
成し得た（なしえた）
偽物	подделка; фальшивка;
本物	истинный; неподдельный;
成り代わる	замещать
自分自身	caм
何の伝はありません （つて）
資金	денежные средства; фонд
かき集める	нагрести; сгрести
宮廷工作	строительство; инженерные работы;
派閥	фракция; группировка;
短慮（〜短気な性格）	безрассудство, опрометчивый
首を突っ込む	встревать, вылезать
助命	отмена приговора; пощада
責任	ответственность
名誉は地に落ちた
騎士の称号	звание/титул рыциря
返上する		возвращать
資格がある	иметь квалификацию/быть достойним
（立身）出世	преуспеть в жизни
攻略	захват; взятие; + заромансить
婚活地獄から抜け出す	сбежать; убежать
騙す	надувать; обмануть; провести;
本心（extra：本音）	истинные намерения
まだしも	（まだいいけど。。。）
宮廷、名門貴族
婚約を正式に解消する	аннулировать, рассторгнуть
すっかり参る	быть расстроенным
やつれる	исхудать
介抱する	ухаживать (傷病者などの世話をすること。看病)
手頃な	подходящий
休養（estra: 休暇）	перерыв; отдых; восстановление сил; покой (отпуск)
後ろ盾	сторонник; патрон; покровитель
処刑	казнь; кара; наказание;
免れる	спасаться; избавляться; избегать
